Date,Meeting,Agenda,Department,Yen_Amount,Type,Speaker,Nakashima_Role,Notes,Source_File,Page
2020,0209teireikaigijuroku,◎議案第２８号令和２年度御杖村後期高齢者医療特別会計,,,"予算,補正予算",議長(山岡隆良君),,次に、日程第６議案第２７号令和２年度御杖村介護保険特別会計補 正予算第２号の議定についてを議題とし、討論を行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、可決です。日程第６議案第２７号 は、委員長の報告のとおり決定することに賛成の方は、起立願います。 （,0209teireikaigijuroku,35
2020,0209teireikaigijuroku,◎議案第２８号令和２年度御杖村後期高齢者医療特別会計,,,"予算,補正予算",議長(山岡隆良君),,次に、日程第７議案第２８号令和２年度御杖村後期高齢者医療特別会 計補正予算第１号の議定についてを議題とし、討論を行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、可決です。日程第７議案第２８号 は、委員長の報告のとおり決定することに賛成の方は、起立願います,0209teireikaigijuroku,35
2020,0209teireikaigijuroku,◎議案第２８号令和２年度御杖村後期高齢者医療特別会計,Water/Sewer,,"予算,決算,補正予算",議長(山岡隆良君),,ありがとうございます。全員の起立により、日程第７議案第２８号 令和２年度御杖村後期高齢者医療特別会計補正予算第１号の議定については、委員長の 報告のとおり可決されました。     －３６－ ◎一括議題［委員長報告・質疑］ ・認定第１号令和元年度御杖村一般会計歳入歳出決算の認定 について ・認定第２号令和元年度御杖村簡易水道事業特別会計歳入歳出 決算の認定について ・認定第３号令和元年度御杖村国民健,0209teireikaigijuroku,36
2020,0209teireikaigijuroku,◎認定第２号令和元年度御杖村簡易水道事業特別会計,Water/Sewer,,"予算,決算",予算決算委員会委員長(松岡一生君),,それでは、日程第８認定第１号から日程第１２ 認定第５号の各会計歳入歳出決算認定の５件につきまして、一括して、その審査結 果について報告をさせていただきます。審査の経緯につきましては、先に報告させ ていただきましたとおりでございます。審査の経過でございますが、全５会計を一 括議題とし、質疑を行いました。委員より多くの質疑が行われ、村当局より答弁を いただきましたが、内容については全議員出席の委員会で,0209teireikaigijuroku,37
2020,0209teireikaigijuroku,◎認定第３号令和元年度御杖村国民健康保険特別会計,Water/Sewer,,決算,議長(山岡隆良君),,次に、日程第９認定第２号令和元年度御杖村簡易水道事業特別会計 歳入歳出決算の認定についてを議題とし、討論を行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、認定です。日程第９認定第２号は、 委員長の報告のとおり認定することに賛成の方は、起立願います。 （全,0209teireikaigijuroku,37
2020,0209teireikaigijuroku,◎認定第４号令和元年度御杖村介護保険特別会計歳入歳出,,,決算,議長(山岡隆良君),,次に、日程第１０認定第３号令和元年度御杖村国民健康保険特別会 計歳入歳出決算の認定についてを議題とし、討論を行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、認定です。日程第１０認定第３号 は、委員長の報告のとおり認定することに賛成の方は、起立願います。 ,0209teireikaigijuroku,38
2020,0209teireikaigijuroku,◎認定第５号令和元年度御杖村後期高齢者医療特別会計,,,決算,議長(山岡隆良君),,次に、日程１１認定第４号令和元年度御杖村介護保険特別会計歳入 歳出決算の認定についてを議題とし、討論を行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、認定です。日程第１１認定第４号 は、委員長の報告のとおり認定することに賛成の方は、起立願います。 （全員,0209teireikaigijuroku,38
2020,0209teireikaigijuroku,◎認定第５号令和元年度御杖村後期高齢者医療特別会計,,,決算,議長(山岡隆良君),,次に、日程第１２認定第５号令和元年度御杖村後期高齢者医療特別会 計歳入歳出決算の認定についてを議題とし、討論を行います。討論はありませんか。 （「討論なし」の声あり） ○議長（山岡隆良君） ：討論なしと認めます。これで討論を終わります。これより、本案につ いて採決を行います。本案に対する委員長の報告は、認定です。日程１２認定第５号は、 委員長の報告のとおり認定することに賛成の方は、起立願います。 ,0209teireikaigijuroku,38
2020,0209teireikaigijuroku,◎発委第６号閉会中の継続調査申出について（むらづくり委員会）,,,決算,議長(山岡隆良君),,ありがとうございます。全員の起立により、日程第１２認定第５号 令和元年度御杖村後期高齢者医療特別会計歳入歳出決算の認定については、委員長の報 告のとおり認定されました。   ◎発委第５号閉会中の継続調査申出について（議会運営委員会） ［上程、採決］  ○議長（山岡隆良君） ：次に、日程第１３発委第５号閉会中の継続調査申出についてを議題と します。議会運営委員長から、お手元の資料のとおり御杖村議会会,0209teireikaigijuroku,41
2026,2026gikaikaigiroku3gatsu,◎発委第２号閉会中の継続調査申出について（むらづくり委員会）,,,"予算,基金,決算,補正予算",委員長(森源五君),,それでは、２月２４日に開催いたしました議会運営委員会の会議結果につい て、報告をいたします。当日は、山岡委員が欠席でございましたが、御杖村議会委員会条例第１２ 条の規定による定足数に達していたことから、令和８年第１回、３月定例会の運営について協議を 行いました。まず、会期及び会期中の日程について協議を行い、会期を３月４日から１６日までの １３日間とし、会期中の日程については、３月４日午前１０時開会,2026gikaikaigiroku3gatsu,5
2026,2026gikaikaigiroku3gatsu,◎承認第１号専決処分の承認を求めることについて,,,"予算,決算,補正予算",議長(寺前伊平君),,次に、監査委員より例月出納検査について１１月から１月分の検査報告をいた だいています。抜粋の写しを配布しておりますので、報告といたします。    ◎承認第１号専決処分の承認を求めることについて （令和７年度御杖村一般会計補正予算（第５号）） ［上程、説明、総括的質疑、予算決算委員会付託］,2026gikaikaigiroku3gatsu,5
2026,2026gikaikaigiroku3gatsu,◎承認第１号専決処分の承認を求めることについて,,,"予算,補正予算",議長(寺前伊平君),,次に、日程第４、承認第１号、専決処分の承認を求めることについて、令和７年 度御杖村一般会計補正予算第５号を議題と致します。本案について、提案理由の説明を求めます。 伊藤村長。,2026gikaikaigiroku3gatsu,5
2026,2026gikaikaigiroku3gatsu,◎承認第１号専決処分の承認を求めることについて,,7795000,"予算,補助金",村長(伊藤収宜君),,案につきましては、一般会計の歳入歳出それぞれに１，１００万円を追加し、補 正後の総額を２８億１，７７９万５千円とするものでございます。内容は、物価高騰対策指定管理者 事業継続支援補助金を追加するものでございます。早急に予算措置が必要となったことから、去 る１２月１８日に専決処分をしましたので、承認をお願いするものでございます。よろしくお願いしま す。,2026gikaikaigiroku3gatsu,5
2026,2026gikaikaigiroku3gatsu,◎承認第１号専決処分の承認を求めることについて,,,"予算,決算",議長(寺前伊平君),,質疑なしと認めます。これで総括的質疑を終わります。本案については、議会 運営委員会委員長の報告のとおり、全員協議会で詳細な説明を受け、予算決算委員会に付託す ることにしたいと思います。ご異議ありませんか。 －６－ （「異議なし」の声あり）,2026gikaikaigiroku3gatsu,6
2026,2026gikaikaigiroku3gatsu,◎承認第２号専決処分の承認を求めることについて,,,"予算,決算,補正予算",議長(寺前伊平君),,異議なしと認めます。したがって、日程第４、承認第１号、専決処分の承認を 求めることについて、令和７年度御杖村一般会計補正予算第５号は、予算決算委員会に付託す ることに決定しました。    ◎承認第２号専決処分の承認を求めることについて （令和７年度御杖村一般会計補正予算（第６号）） ［上程、説明、総括的質疑、予算決算委員会付託］,2026gikaikaigiroku3gatsu,6
2026,2026gikaikaigiroku3gatsu,◎承認第２号専決処分の承認を求めることについて,,,"予算,補正予算",議長(寺前伊平君),,次に、日程第５、承認第２号、専決処分の承認を求めることについて、令和７年 度御杖村一般会計補正予算第６号を議題と致します。本案について、提案理由の説明を求めます。 伊藤村長。,2026gikaikaigiroku3gatsu,6
2026,2026gikaikaigiroku3gatsu,◎承認第２号専決処分の承認を求めることについて,,9469000,予算,村長(伊藤収宜君),,本案につきましては、一般会計の歳入歳出それぞれに７，１６７万４千円を追 加し、補正後の総額を２８億８，９４６万９千円とするものでございます。内容は、物価高騰対応重 点支援地方創生臨時交付金を活用した地域振興券など追加するものでございます。早急に予算 措置が必要となったことから、去る１月１３日に専決処分をしましたので、承認をお願いするもので ございます。よろしくお願いします。,2026gikaikaigiroku3gatsu,6
2026,2026gikaikaigiroku3gatsu,◎承認第２号専決処分の承認を求めることについて,,,"予算,決算",議長(寺前伊平君),,質疑なしと認めます。これで総括的質疑を終わります。本案についても、議会 運営委員会委員長の報告のとおり、全員協議会で詳細な説明を受け、予算決算委員会に付託す ることにしたいと思います。ご異議ありませんか。 （「異議なし」の声あり）,2026gikaikaigiroku3gatsu,6
2026,2026gikaikaigiroku3gatsu,◎承認第３号専決処分の承認を求めることについて,,,"予算,決算,補正予算",議長(寺前伊平君),,異議なしと認めます。したがって、日程第５、承認第２号、専決処分の承認を 求めることについて、令和７年度御杖村一般会計補正予算第６号も、予算決算委員会に付託する ことに決定しました。    ◎承認第３号専決処分の承認を求めることについて （令和７年度御杖村一般会計補正予算（第７号）） ［上程、説明、総括的質疑、予算決算委員会付託］,2026gikaikaigiroku3gatsu,6
2026,2026gikaikaigiroku3gatsu,◎承認第３号専決処分の承認を求めることについて,,,"予算,補正予算",議長(寺前伊平君),,次に、日程第６、承認第３号、専決処分の承認を求めることについて、令和７年 度御杖村一般会計補正予算第７号を議題と致します。本案について、提案理由の説明を求めます。 伊藤村長。,2026gikaikaigiroku3gatsu,6
2026,2026gikaikaigiroku3gatsu,◎承認第３号専決処分の承認を求めることについて,,3130000,予算,村長(伊藤収宜君),,本案につきましては、一般会計の歳入歳出それぞれに３１３万円を追加し、補  －７－ 正後の総額を２８億９，２５９万９千円とするものでございます。内容は、衆議院議員総選挙及び最 高裁判所裁判官国民審査の執行経費を追加するものでございます。早急に予算措置が必要とな ったことから、去る１月１９日に専決処分をしましたので、承認をお願いするものでございます。よろ しくお願いします。,2026gikaikaigiroku3gatsu,7
2026,2026gikaikaigiroku3gatsu,◎承認第３号専決処分の承認を求めることについて,,,"予算,決算",議長(寺前伊平君),,質疑なしと認めます。これで総括的質疑を終わります。本案についても、議会 運営委員会委員長の報告のとおり、全員協議会で詳細な説明を受け、予算決算委員会に付託す ることにしたいと思います。ご異議ありませんか。 （「異議なし」の声あり）,2026gikaikaigiroku3gatsu,7
2026,2026gikaikaigiroku3gatsu,◎議案第１号特別職の職員で非常勤のものの報酬等に関する,,,"予算,決算,補正予算",議長(寺前伊平君),,異議なしと認めます。したがって、日程第６、承認第３号、専決処分の承認を 求めることについて、令和７年度御杖村一般会計補正予算第７号も、予算決算委員会に付託する ことに決定しました。     ◎議案第１号特別職の職員で非常勤のものの報酬等に関する 条例の一部を改正する条例の制定について ［上程、説明、総括的質疑、むらづくり委員会付託］,2026gikaikaigiroku3gatsu,7
